mode,n,m,instance,seed,algorithm,makespan,optimal_makespan,ratio,runtime_seconds
unidirectional,5,30,20,55046,ILP,30,30,1.0,0.008904844000426237
unidirectional,5,30,20,55046,REC,30,30,1.0,0.0002462069987814175
unidirectional,5,30,20,55046,Heap-Based,30,30,1.0,0.00019769000027736183
unidirectional,5,30,21,55047,ILP,30,30,1.0,0.008483003000947065
unidirectional,5,30,21,55047,REC,30,30,1.0,0.00019188799888070207
unidirectional,5,30,21,55047,Heap-Based,30,30,1.0,0.00012426600005710497
unidirectional,5,30,22,55048,ILP,32,32,1.0,0.009868377999737277
unidirectional,5,30,22,55048,REC,32,32,1.0,0.00026440299916430376
unidirectional,5,30,22,55048,Heap-Based,32,32,1.0,0.0002085839987557847
unidirectional,5,30,23,55049,ILP,27,27,1.0,0.008614719999968656
unidirectional,5,30,23,55049,REC,27,27,1.0,0.0002001289994950639
unidirectional,5,30,23,55049,Heap-Based,27,27,1.0,0.0001357690016448032
unidirectional,5,30,24,55050,ILP,32,32,1.0,0.008524326000042493
unidirectional,5,30,24,55050,REC,32,32,1.0,0.00022407799951906782
unidirectional,5,30,24,55050,Heap-Based,32,32,1.0,0.00016568600040045567
unidirectional,5,30,25,55051,ILP,25,25,1.0,0.006957423000130802
unidirectional,5,30,25,55051,REC,25,25,1.0,0.00019740700008696876
unidirectional,5,30,25,55051,Heap-Based,25,25,1.0,0.00013531599870475475
unidirectional,5,30,26,55052,ILP,33,33,1.0,0.015444128999661189
unidirectional,5,30,26,55052,REC,33,33,1.0,0.00021078099962323904
unidirectional,5,30,26,55052,Heap-Based,33,33,1.0,0.00015233100020850543
unidirectional,5,30,27,55053,ILP,20,20,1.0,0.005185529998925631
unidirectional,5,30,27,55053,REC,20,20,1.0,0.00015898299898253754
unidirectional,5,30,27,55053,Heap-Based,20,20,1.0,8.624400106782559e-05
unidirectional,5,30,28,55054,ILP,34,34,1.0,0.022535089001394226
unidirectional,5,30,28,55054,REC,34,34,1.0,0.0002836839994415641
unidirectional,5,30,28,55054,Heap-Based,34,34,1.0,0.00022838400036562234
unidirectional,5,30,29,55055,ILP,28,28,1.0,0.005930049001108273
unidirectional,5,30,29,55055,REC,28,28,1.0,0.0001822200010792585
unidirectional,5,30,29,55055,Heap-Based,28,28,1.0,0.00012196299940114841
unidirectional,5,30,30,55056,ILP,25,25,1.0,0.005433805999928154
unidirectional,5,30,30,55056,REC,25,25,1.0,0.00014568999904440716
unidirectional,5,30,30,55056,Heap-Based,25,25,1.0,9.864499952527694e-05
